ciclo,modo,pc,ifbit,irr,imr,isr,en_servicio,in_isr,stage,cur_dev,vec,driver_busy,disco_serv,disco_rem,teclado_serv,teclado_rem,disco_cola,teclado_cola,irq,contextos_guardados,es,nest,eoi,pend
1,usuario,0x404,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,usuario,0x408,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,usuario,0x40C,1,00,00,00,-,0,0,-,0x0,4,0,0,0,0,0,1,0,0,0,0,0,0
4,usuario,0x410,1,00,00,00,-,0,0,-,0x0,3,0,0,1,4,0,0,0,0,0,0,0,0
5,usuario,0x414,1,00,00,00,-,0,0,-,0x0,2,0,0,1,3,0,0,0,0,0,0,0,0
6,usuario,0x418,1,00,00,00,-,0,0,-,0x0,4,0,0,1,3,1,0,0,0,0,0,0,0
7,usuario,0x41C,1,00,00,00,-,0,0,-,0x0,3,2,6,1,2,0,0,0,0,0,0,0,0
8,usuario,0x420,1,00,00,00,-,0,0,-,0x0,2,2,5,1,2,0,0,0,0,0,0,0,0
9,usuario,0x424,1,00,00,00,-,0,0,-,0x0,4,2,5,1,1,0,1,0,0,0,0,0,0
10,usuario,0x428,1,00,00,00,-,0,0,-,0x0,3,2,4,1,1,0,1,0,0,0,0,0,0
11,usuario,0x42C,1,01,00,00,-,0,0,-,0x0,2,2,4,0,0,0,1,0,0,0,0,0,1
12,kernel,0x430,0,00,00,01,Teclado,1,1,Teclado,0x22,4,2,3,3,4,1,0,1,1,0,0,0,1
13,kernel,0x430,0,00,00,01,Teclado,1,2,Teclado,0x22,3,2,3,3,3,1,0,1,1,0,0,0,1
14,kernel,0x430,0,00,00,01,Teclado,1,3,Teclado,0x22,2,2,2,3,3,1,0,1,1,0,0,0,1
15,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,1,2,2,3,2,1,0,1,1,0,0,0,1
16,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,2,1,3,2,1,0,1,1,0,0,0,1
17,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,2,1,3,1,1,0,1,1,1,0,1,0
18,usuario,0x430,1,10,00,00,-,1,7,Teclado,0x22,0,0,0,3,1,1,0,1,1,1,0,1,1
19,usuario,0x430,1,11,00,00,-,0,0,-,0x0,0,4,6,0,0,0,0,1,1,1,0,1,2
20,kernel,0x434,0,01,00,10,Disco,1,1,Disco,0x21,0,4,5,0,0,0,0,2,2,1,0,1,2
21,kernel,0x434,0,01,00,10,Disco,1,2,Disco,0x21,0,4,5,0,0,0,0,2,2,1,0,1,2
22,kernel,0x434,0,01,00,10,Disco,1,3,Disco,0x21,0,4,4,0,0,0,0,2,2,1,0,1,2
23,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,4,4,0,0,0,0,2,2,1,0,1,2
24,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,4,3,0,0,0,0,2,2,1,0,1,2
25,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,4,3,0,0,0,0,2,2,2,0,2,1
26,usuario,0x434,1,01,00,00,-,1,7,Disco,0x21,0,4,2,0,0,0,0,2,2,2,0,2,1
27,usuario,0x434,1,01,00,00,-,0,0,-,0x0,0,4,2,0,0,0,0,2,2,2,0,2,1
28,kernel,0x438,0,00,00,01,Teclado,1,1,Teclado,0x22,0,4,1,0,0,0,0,3,3,2,0,2,1
29,kernel,0x438,0,00,00,01,Teclado,1,2,Teclado,0x22,0,4,1,0,0,0,0,3,3,2,0,2,1
30,kernel,0x438,0,10,00,01,Teclado,1,3,Teclado,0x22,0,0,0,0,0,0,0,3,3,2,0,2,2
31,kernel,0x2200,1,10,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,3,3,2,0,2,2
32,kernel,0x2200,0,00,00,11,Disco,1,1,Disco,0x21,0,0,0,0,0,0,0,4,4,2,1,2,2
33,kernel,0x2200,0,00,00,11,Disco,1,2,Disco,0x21,0,0,0,0,0,0,0,4,4,2,1,2,2
34,kernel,0x2200,0,00,00,11,Disco,1,3,Disco,0x21,0,0,0,0,0,0,0,4,4,2,1,2,2
35,kernel,0x2100,1,00,00,11,Disco,1,4,Disco,0x21,0,0,0,0,0,0,0,4,4,2,1,2,2
36,kernel,0x2100,1,00,00,11,Disco,1,5,Disco,0x21,0,0,0,0,0,0,0,4,4,2,1,2,2
37,kernel,0x2100,1,00,00,01,Teclado,1,6,Disco,0x21,0,0,0,0,0,0,0,4,4,3,1,3,1
38,kernel,0x2200,1,00,00,01,Teclado,1,7,Disco,0x21,0,0,0,0,0,0,0,4,4,3,1,3,1
39,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,4,4,3,1,3,1
40,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,0,0,0,0,0,0,4,4,3,1,3,1
41,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,0,0,0,0,0,0,4,4,4,1,4,0
42,usuario,0x438,1,00,00,00,-,1,7,Teclado,0x22,0,0,0,0,0,0,0,4,4,4,1,4,0
43,usuario,0x438,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,4,4,4,1,4,0
44,usuario,0x43C,1,00,00,00,-,0,0,-,0x0,4,0,0,0,0,0,1,4,4,4,1,4,0
45,usuario,0x440,1,00,00,00,-,0,0,-,0x0,3,0,0,5,4,0,0,4,4,4,1,4,0
46,usuario,0x444,1,00,00,00,-,0,0,-,0x0,2,0,0,5,3,0,0,4,4,4,1,4,0
47,usuario,0x448,1,00,00,00,-,0,0,-,0x0,4,0,0,5,3,1,0,4,4,4,1,4,0
48,usuario,0x44C,1,00,00,00,-,0,0,-,0x0,3,6,6,5,2,0,0,4,4,4,1,4,0
49,usuario,0x450,1,00,00,00,-,0,0,-,0x0,2,6,5,5,2,0,0,4,4,4,1,4,0
50,usuario,0x454,1,00,00,00,-,0,0,-,0x0,4,6,5,5,1,0,1,4,4,4,1,4,0
51,usuario,0x458,1,00,00,00,-,0,0,-,0x0,3,6,4,5,1,0,1,4,4,4,1,4,0
52,usuario,0x45C,1,01,00,00,-,0,0,-,0x0,2,6,4,0,0,0,1,4,4,4,1,4,1
53,kernel,0x460,0,00,00,01,Teclado,1,1,Teclado,0x22,4,6,3,7,4,1,0,5,5,4,1,4,1
54,kernel,0x460,0,00,00,01,Teclado,1,2,Teclado,0x22,3,6,3,7,3,1,0,5,5,4,1,4,1
55,kernel,0x460,0,00,00,01,Teclado,1,3,Teclado,0x22,2,6,2,7,3,1,0,5,5,4,1,4,1
56,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,1,6,2,7,2,1,0,5,5,4,1,4,1
57,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,6,1,7,2,1,0,5,5,4,1,4,1
58,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,6,1,7,1,1,0,5,5,5,1,5,0
59,usuario,0x460,1,10,00,00,-,1,7,Teclado,0x22,0,0,0,7,1,1,0,5,5,5,1,5,1
60,usuario,0x460,1,11,00,00,-,0,0,-,0x0,0,8,6,0,0,0,0,5,5,5,1,5,2
61,kernel,0x464,0,01,00,10,Disco,1,1,Disco,0x21,0,8,5,0,0,0,0,6,6,5,1,5,2
62,kernel,0x464,0,01,00,10,Disco,1,2,Disco,0x21,0,8,5,0,0,0,0,6,6,5,1,5,2
63,kernel,0x464,0,01,00,10,Disco,1,3,Disco,0x21,0,8,4,0,0,0,0,6,6,5,1,5,2
64,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,8,4,0,0,0,0,6,6,5,1,5,2
65,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,8,3,0,0,0,0,6,6,5,1,5,2
66,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,8,3,0,0,0,0,6,6,6,1,6,1
67,usuario,0x464,1,01,00,00,-,1,7,Disco,0x21,0,8,2,0,0,0,0,6,6,6,1,6,1
68,usuario,0x464,1,01,00,00,-,0,0,-,0x0,0,8,2,0,0,0,0,6,6,6,1,6,1
69,kernel,0x468,0,00,00,01,Teclado,1,1,Teclado,0x22,0,8,1,0,0,0,0,7,7,6,1,6,1
70,kernel,0x468,0,00,00,01,Teclado,1,2,Teclado,0x22,0,8,1,0,0,0,0,7,7,6,1,6,1
71,kernel,0x468,0,10,00,01,Teclado,1,3,Teclado,0x22,0,0,0,0,0,0,0,7,7,6,1,6,2
72,kernel,0x2200,1,10,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,7,7,6,1,6,2
73,kernel,0x2200,0,00,00,11,Disco,1,1,Disco,0x21,0,0,0,0,0,0,0,8,8,6,2,6,2
74,kernel,0x2200,0,00,00,11,Disco,1,2,Disco,0x21,0,0,0,0,0,0,0,8,8,6,2,6,2
75,kernel,0x2200,0,00,00,11,Disco,1,3,Disco,0x21,0,0,0,0,0,0,0,8,8,6,2,6,2
